ensembl_gene_id,entrezgene_id,hgnc_symbol
ENSG00000275199,10000,AKT3
ENSG00000117020,10000,AKT3
ENSG00000285516,10003,NAALAD2
ENSG00000077616,10003,NAALAD2
ENSG00000236311,100038246,TLX1NB
ENSG00000168060,10004,NAALADL1
ENSG00000136754,10006,ABI1
ENSG00000283788,100126326,MIR936
ENSG00000216035,100126327,MIR938
ENSG00000215930,100126331,MIR942
ENSG00000215938,100126346,MIR190B
ENSG00000211575,100126348,MIR760
ENSG00000215952,100126349,MIR921
ENSG00000225828,100128071,FAM229A
ENSG00000204832,100128098,ST8SIA6-AS1
ENSG00000233642,100128811,GPR158-AS1
ENSG00000215869,100129138,
ENSG00000186056,100129196,MATN1-AS1
ENSG00000198854,100129271,C1orf68
ENSG00000234420,100129482,ZNF37BP
ENSG00000269896,100129534,
ENSG00000232825,100129620,
ENSG00000228237,100130197,EFCAB14-AS1
ENSG00000237250,100130331,
ENSG00000205177,100131378,C11orf91
ENSG00000255428,100132078,
ENSG00000281783,100132464,FAM99B
ENSG00000281829,100132464,FAM99B
ENSG00000205865,100132464,FAM99B
ENSG00000230417,100132987,LINC00856
ENSG00000230417,100132987,LINC00595
ENSG00000254469,100133315,
ENSG00000288320,100133545,MRPL23-AS1
ENSG00000226416,100133545,MRPL23-AS1
ENSG00000283059,100144748,KLLN
ENSG00000227268,100144748,KLLN
ENSG00000236027,100169851,PATE3
ENSG00000225556,100191040,C2CD4D
ENSG00000172410,10022,INSL5
ENSG00000165879,10023,FRAT1
ENSG00000142892,10026,PIGK
ENSG00000223972,100287102,DDX11L1
ENSG00000226167,100287722,AP4B1-AS1
ENSG00000229228,100287814,LINC00582
ENSG00000275571,100287898,TTC34
ENSG00000215912,100287898,TTC34
ENSG00000223776,100287902,LGALS8-AS1
ENSG00000255282,100288077,WTAPP1
ENSG00000256892,100288485,MTRNR2L7
ENSG00000232284,100289178,GNG12-AS1
ENSG00000278811,100289211,LINC00624
ENSG00000221371,100302116,MIR1265
ENSG00000222071,100302129,MIR1915
ENSG00000222831,100302139,MIR1537
ENSG00000221063,100302150,MIR1296
ENSG00000221028,100302158,MIR1231
ENSG00000221680,100302163,MIR1278
ENSG00000221390,100302178,MIR1295A
ENSG00000280948,100302190,MIR1976
ENSG00000238705,100302190,MIR1976
ENSG00000221594,100302192,MIR548F1
ENSG00000284458,100302240,MIR1304
ENSG00000284416,100302263,MIR1908
ENSG00000221203,100302279,MIR1262
ENSG00000221273,100302280,MIR1237
ENSG00000224687,100302401,RASAL2-AS1
ENSG00000224939,100302691,LINC00184
ENSG00000288233,100313770,MIR548K
ENSG00000221333,100313770,MIR548K
ENSG00000211568,100313777,MIR670
ENSG00000257315,100381270,ZBED6
ENSG00000283497,100422825,MIR3160-2
ENSG00000265014,100422827,MIR3160-1
ENSG00000283340,100422839,MIR3119-1
ENSG00000265140,100422855,MIR4301
ENSG00000265831,100422856,MIR3123
ENSG00000263793,100422866,MIR3115
ENSG00000264803,100422867,MIR378C
ENSG00000264720,100422871,MIR3117
ENSG00000266676,100422873,MIR4297
ENSG00000264500,100422879,MIR3124
ENSG00000264559,100422880,MIR3162
ENSG00000283152,100422882,MIR3120
ENSG00000266407,100422892,MIR3157
ENSG00000283876,100422894,MIR4260
ENSG00000264800,100422895,MIR4294
ENSG00000264698,100422898,MIR4255
ENSG00000263436,100422900,MIR3158-1
ENSG00000264763,100422909,MIR4295
ENSG00000264014,100422914,MIR4253
ENSG00000266215,100422918,MIR3167
ENSG00000264358,100422947,MIR3122
ENSG00000263742,100422953,MIR3165
ENSG00000283572,100422968,MIR4251
ENSG00000265392,100422975,MIR4252
ENSG00000283296,100422976,MIR4256
ENSG00000263476,100422988,MIR3156-1
ENSG00000263628,100422989,MIR3155A
ENSG00000266192,100422991,MIR1260B
ENSG00000264553,100422997,MIR4257
ENSG00000263390,100423010,MIR3119-2
ENSG00000264349,100423020,MIR4258
ENSG00000288415,100423021,MIR4298
ENSG00000264493,100423021,MIR4298
ENSG00000266645,100423026,MIR4299
ENSG00000266580,100423028,MIR4254
ENSG00000265435,100423032,MIR3121
ENSG00000283558,100423033,MIR3158-2
ENSG00000264572,100423041,MIR4296
ENSG00000249860,100463289,MTRNR2L5
ENSG00000255823,100463486,MTRNR2L8
ENSG00000265596,100500801,MIR3659
ENSG00000284163,100500810,MIR3620
ENSG00000263885,100500823,MIR3920
ENSG00000264747,100500834,MIR3924
ENSG00000263744,100500844,MIR3664
ENSG00000283881,100500849,MIR3916
ENSG00000284154,100500853,MIR3605
ENSG00000265996,100500854,MIR3671
ENSG00000207704,100500863,MIR548AA1
ENSG00000265442,100500866,MIR3941
ENSG00000266782,100500893,MIR3663
ENSG00000265395,100500911,MIR3944
ENSG00000255359,100500938,CCDC179
ENSG00000261683,100505583,LINC00838
ENSG00000184224,100505621,NDUFV1-DT
ENSG00000122432,100505741,SPATA1
ENSG00000280693,100505839,SH3PXD2A-AS1
ENSG00000230679,100505975,ENO1-AS1
ENSG00000282810,100506211,MIR210HG
ENSG00000247095,100506211,MIR210HG
ENSG00000234736,100506733,FAM170B-AS1
ENSG00000226808,100506835,LINC00840
ENSG00000237399,100507034,PITRM1-AS1
ENSG00000261594,100507050,TPBGL
ENSG00000238266,100507127,LINC00707
ENSG00000281207,100507178,SLFNL1-AS1
ENSG00000254519,100507384,
ENSG00000247675,100507401,LRP4-AS1
ENSG00000269956,100507423,MKNK1-AS1
ENSG00000234942,100507470,GRID1-AS1
ENSG00000226754,100507564,
ENSG00000235824,100507605,LINC00837
ENSG00000259030,100526835,FPGT-TNNI3K
ENSG00000260238,100527963,PMF1-BGLAP
ENSG00000255071,100528017,SAA2-SAA4
ENSG00000269897,100532731,COMMD3-BMI1
ENSG00000255245,100533181,FXYD6-FXYD2
ENSG00000265210,100616118,MIR4486
ENSG00000265606,100616120,MIR4695
ENSG00000265258,100616126,MIR4686
ENSG00000283664,100616128,MIR4679-1
ENSG00000263584,100616151,MIR4480
ENSG00000283656,100616162,MIR4483
ENSG00000264773,100616164,MIR4420
ENSG00000266703,100616186,MIR4490
ENSG00000265375,100616192,MIR4679-2
ENSG00000263439,100616224,MIR4753
ENSG00000265822,100616272,MIR4422
ENSG00000265874,100616284,MIR4489
ENSG00000266719,100616286,MIR4676
ENSG00000266041,100616292,MIR4690
ENSG00000283672,100616296,MIR4678
ENSG00000284998,100616308,MIR4666A
ENSG00000266174,100616308,MIR4666A
ENSG00000263389,100616311,MIR3973
ENSG00000283749,100616315,MIR4781
ENSG00000265357,100616319,MIR4493
ENSG00000265370,100616322,MIR4682
ENSG00000265092,100616327,MIR4484
ENSG00000266417,100616328,MIR4424
ENSG00000264032,100616330,MIR4491
ENSG00000264470,100616338,MIR4794
ENSG00000265201,100616343,MIR4677
ENSG00000265986,100616363,MIR4735
ENSG00000264102,100616368,MIR4688
ENSG00000264211,100616376,MIR4492
ENSG00000264377,100616380,MIR4671
ENSG00000265372,100616383,MIR4675
ENSG00000266144,100616386,MIR4654
ENSG00000265744,100616390,MIR4427
ENSG00000265422,100616391,MIR4684
ENSG00000265719,100616398,MIR4681
ENSG00000284435,100616403,MIR4691
ENSG00000266150,100616409,MIR4711
ENSG00000265064,100616410,MIR4692
ENSG00000264101,100616421,MIR4689
ENSG00000264309,100616426,MIR4694
ENSG00000251862,100616437,MIR1343
ENSG00000263676,100616438,MIR4632
ENSG00000284247,100616452,MIR2682
ENSG00000264200,100616457,MIR4693
ENSG00000266618,100616468,MIR4742
ENSG00000266006,100616470,MIR4488
ENSG00000266110,100616481,MIR4423
ENSG00000264610,100616482,MIR4685
ENSG00000264926,100616492,MIR378F
ENSG00000025434,10062,NR1H3
ENSG00000283634,100628560,MIR3155B
ENSG00000263290,10067,SCAMP3
ENSG00000116521,10067,SCAMP3
ENSG00000137496,10068,IL18BP
ENSG00000254986,10072,DPP3
ENSG00000286061,100750325,RCAN3AS
ENSG00000060656,10076,PTPRU
ENSG00000064201,10077,TSPAN32
ENSG00000184281,10078,TSSC4
ENSG00000006611,10083,USH1C
ENSG00000283598,100847009,MIR1295B
ENSG00000263675,100847010,MIR5581
ENSG00000263795,100847014,MIR5100
ENSG00000264984,100847015,MIR5691
ENSG00000266668,100847017,MIR5692C2
ENSG00000263540,100847020,MIR5582
ENSG00000283676,100847044,MIR5087
ENSG00000264802,100847050,MIR5191
ENSG00000265993,100847064,MIR5694
ENSG00000266318,100847066,MIR5692A1
ENSG00000264483,100847072,MIR5008
ENSG00000263750,100847083,MIR548AV
ENSG00000264406,100847084,MIR548AP
ENSG00000263511,100847086,MIR5699
ENSG00000263629,100847088,MIR5586
ENSG00000263381,100847089,MIR5584
ENSG00000284035,100847090,MIR5187
ENSG00000228853,100852409,NEGR1-IT1
ENSG00000281664,100861504,LINC00538
ENSG00000232878,100873932,DPYD-AS1
ENSG00000225602,100873935,MTOR-AS1
ENSG00000284539,100873946,VAV3-AS1
ENSG00000230489,100873946,VAV3-AS1
ENSG00000255082,100873989,GRM5-AS1
ENSG00000255043,100874012,NAV2-AS5
ENSG00000226627,100874198,SHANK2-AS1
ENSG00000254960,100874251,KIRREL3-AS2
ENSG00000224805,100874253,LINC00853
ENSG00000231814,100885798,LINC00210
ENSG00000173338,10089,KCNK7
ENSG00000162704,10092,ARPC5
ENSG00000151651,101,ADAM8
ENSG00000134198,10100,TSPAN2
ENSG00000117472,10103,TSPAN1
ENSG00000108179,10105,PPIF
ENSG00000235180,101101772,LINC00601
ENSG00000110422,10114,HIPK3
ENSG00000138107,10121,ACTR1A
ENSG00000123240,10133,OPTN
ENSG00000233409,101410540,FANK1-AS1
ENSG00000162366,10158,PDZK1IP1
ENSG00000158195,10163,WASF2
ENSG00000076053,10179,RBM7
ENSG00000185238,10196,PRMT3
ENSG00000149573,10205,MPZL2
ENSG00000116690,10216,PRG4
ENSG00000171819,10218,ANGPTL7
ENSG00000143167,10223,GPA33
ENSG00000135823,10228,STX6
ENSG00000282958,10236,HNRNPR
ENSG00000125944,10236,HNRNPR
ENSG00000149124,10249,GLYAT
ENSG00000133226,10250,SRRM1
ENSG00000142675,10256,CNKSR1
ENSG00000143368,10262,SF3B4
ENSG00000167797,10263,CDK2AP2
ENSG00000084073,10269,ZMPSTE24
ENSG00000173848,10276,NET1
ENSG00000130939,10277,UBE4B
ENSG00000273707,1028,CDKN1C
ENSG00000129757,1028,CDKN1C
ENSG00000119953,10285,SMNDC1
ENSG00000116752,10286,BCAS2
ENSG00000160710,103,ADAR
ENSG00000123080,1031,CDKN2C
ENSG00000110719,10312,TCIRG1
ENSG00000133318,10313,RTN3
ENSG00000117448,10327,AKR1A1
ENSG00000132274,10346,TRIM22
ENSG00000116874,10352,WARS2
ENSG00000107833,10360,NPM3
ENSG00000107745,10367,MICU1
ENSG00000162813,10380,BPNT1
ENSG00000134255,10390,CEPT1
ENSG00000156575,10394,PRG3
ENSG00000131788,10401,PIAS3
ENSG00000142089,10410,IFITM3
ENSG00000137693,10413,YAP1
ENSG00000262655,10418,SPON1
ENSG00000070759,10420,TESK2
ENSG00000169442,1043,CD52
ENSG00000239306,10432,RBM14
ENSG00000149798,10435,CDC42EP2
ENSG00000134375,10440,TIMM17A
ENSG00000170382,10446,LRRN2
ENSG00000084072,10450,PPIE
ENSG00000134215,10451,VAV3
ENSG00000143575,10456,HAX1
ENSG00000116670,10459,MAD2L2
ENSG00000171960,10465,PPIH
ENSG00000179456,10472,ZBTB18
ENSG00000149100,10480,EIF3M
ENSG00000162231,10482,NXF1
ENSG00000131236,10487,CAP1
ENSG00000132128,10489,LRRC41
ENSG00000185736,105,ADARB2
