chrom,start,end,symbol,id,num_snps,ens_g,num_wins_2500bp,num_snps_2500bp
1,11873,14409,DDX11L1,100287102,0.0,ENSG00000223972,0,0
1,158580495,158656506,SPTA1,6708,204.0,ENSG00000163554,5,201
1,158576228,158577170,OR10Z1,128368,3.0,ENSG00000198967,1,21
1,158548708,158549689,OR10X1,128367,5.0,ENSG00000279111,1,15
1,158532440,158533394,OR6P1,128366,4.0,ENSG00000186440,1,22
1,158516917,158517895,OR6Y1,391112,3.0,ENSG00000197532,1,16
1,158449667,158450675,OR10R2,343406,5.0,ENSG00000198965,1,15
1,158435351,158436293,OR10K1,391109,1.0,ENSG00000173285,1,25
1,158389717,158390656,OR10K2,391107,2.0,ENSG00000180708,1,19
1,158368311,158369256,OR10T2,128360,7.0,ENSG00000186306,1,27
1,158323485,158327343,CD1E,913,6.0,ENSG00000158488,1,24
1,158297739,158301321,CD1B,910,8.0,ENSG00000158485,1,14
1,158259562,158264564,CD1C,911,5.0,ENSG00000158481,1,10
1,158223926,158228058,CD1A,909,15.0,ENSG00000158477,1,21
1,158149736,158156216,CD1D,912,11.0,ENSG00000158473,1,29
1,157800703,157811634,CD5L,922,21.0,ENSG00000073754,1,25
1,157764193,157789940,FCRL1,115350,74.0,ENSG00000163534,2,79
1,157715522,157746922,FCRL2,79368,67.0,ENSG00000132704,2,69
1,157647977,157670647,FCRL3,115352,45.0,ENSG00000160856,2,53
1,157543538,157567870,FCRL4,83417,69.0,ENSG00000163518,2,86
1,157483166,157522310,FCRL5,83416,78.0,ENSG00000143297,2,85
1,157098153,157098463,CYCSP52,360155,0.0,ENSG00000235700,1,4
1,157094458,157108383,ETV3,2117,14.0,ENSG00000117036,1,21
1,157061834,157069600,ETV3L,440695,27.0,ENSG00000253831,1,45
1,156905922,156906036,MIR765,768220,0.0,ENSG00000211581,1,18
1,156904631,157015162,ARHGEF11,9826,262.0,ENSG00000132694,6,255
1,156890423,156902880,LRRC71,149499,39.0,ENSG00000160838,1,47
1,156863522,156886226,PEAR1,375033,81.0,ENSG00000187800,2,99
1,158669467,158670442,OR6K2,81448,1.0,ENSG00000196171,1,10
1,158686957,158687905,OR6K3,391114,3.0,ENSG00000203757,1,9
1,158724605,158725637,OR6K6,128371,1.0,ENSG00000180433,1,10
1,158735533,158736472,OR6N1,128372,8.0,ENSG00000197403,1,46
1,160185504,160232350,DCAF8,50717,61.0,ENSG00000132716,2,66
1,160175124,160185162,PEA15,8682,14.0,ENSG00000162734,1,19
1,160160284,160171676,CASQ1,844,23.0,ENSG00000143318,1,34
1,160121351,160156767,ATP1A4,480,128.0,ENSG00000132681,3,143
1,160085519,160113374,ATP1A2,477,100.0,ENSG00000018625,3,102
1,160061128,160068618,IGSF8,93185,13.0,ENSG00000162729,1,19
1,160051359,160059212,KCNJ9,3765,18.0,ENSG00000162728,1,26
1,160007256,160040051,KCNJ10,3766,62.0,ENSG00000177807,2,67
1,159997461,160001783,PIGM,93183,7.0,ENSG00000143315,1,18
1,159921281,159924044,SLAMF9,89886,11.0,ENSG00000162723,1,26
1,159896828,159915386,IGSF9,57549,57.0,ENSG00000085552,2,71
1,159887896,159894341,TAGLN2,8407,15.0,ENSG00000158710,1,27
1,159824105,159832447,VSIG8,391123,31.0,ENSG00000243284,1,45
1,156810664,156828712,INSRR,3645,17.0,ENSG00000027644,1,28
1,159796478,159807282,SLAMF8,56833,24.0,ENSG00000158714,1,34
1,159750758,159752333,DUSP23,54935,4.0,ENSG00000158716,1,21
1,159682078,159684379,CRP,1401,4.0,ENSG00000132693,1,15
1,159557615,159558661,APCS,325,2.0,ENSG00000132703,1,24
1,159504867,159505797,OR10J5,127385,2.0,ENSG00000184155,1,12
1,159409511,159410600,OR10J1,26476,5.0,ENSG00000196184,1,20
1,159283459,159284449,OR10J3,441911,2.0,ENSG00000196266,1,15
1,159259505,159278014,FCER1A,2205,69.0,ENSG00000179639,2,70
1,159141376,159172932,CADM3,57863,71.0,ENSG00000162706,2,81
1,159032274,159046647,AIM2,9447,38.0,ENSG00000163568,1,42
1,158979681,159024945,IFI16,3428,232.0,ENSG00000163565,5,218
1,158901336,158946849,PYHIN1,149628,107.0,ENSG00000163564,3,124
1,158801167,158819270,MNDA,4332,44.0,ENSG00000163563,2,59
1,158746471,158747425,OR6N2,81442,2.0,ENSG00000188340,1,29
1,159772172,159786047,FCRL6,343413,58.0,ENSG00000181036,2,68
1,160258376,160313354,COPA,1314,90.0,ENSG00000122218,2,91
1,156830670,156851642,NTRK1,4914,37.0,ENSG00000198400,1,43
1,156737273,156770609,PRCC,5546,99.0,ENSG00000143294,2,99
1,155829259,155854990,SYT11,23208,38.0,ENSG00000132718,1,40
1,155658881,155708800,DAP3,7818,66.0,ENSG00000132676,2,69
1,155719509,155826972,GON4L,54856,182.0,ENSG00000116580,4,153
1,155579960,155584758,MSTO1,55154,4.0,ENSG00000125459,1,10
1,155531771,155533735,ASH1L-AS1,645676,1.0,ENSG00000235919,1,5
1,155305051,155532324,ASH1L,55870,205.0,ENSG00000116539,4,186
1,155290639,155300909,RUSC1,23623,3.0,ENSG00000160753,1,9
1,155290250,155293938,RUSC1-AS1,284618,1.0,ENSG00000225855,1,3
1,155278538,155290457,FDPS,2224,12.0,ENSG00000160752,1,14
1,155259083,155271225,PKLR,5313,18.0,ENSG00000262785,1,24
1,155247217,155259639,HCN3,57657,27.0,ENSG00000143630,1,32
1,155232658,155243281,CLK2,1196,15.0,ENSG00000261893,1,19
1,155225769,155232176,SCAMP3,10067,15.0,ENSG00000263290,1,18
1,155216995,155225274,FAM189B,10712,24.0,ENSG00000160767,1,27
1,155204238,155214653,GBA,2629,20.0,ENSG00000262446,1,24
1,155183615,155188809,GBAP1,2630,7.0,ENSG00000160766,1,15
1,155178489,155183624,MTX1,4580,6.0,ENSG00000173171,1,12
1,155165378,155177772,THBS3,7059,19.0,ENSG00000169231,1,22
1,155164967,155165063,MIR92B,693235,0.0,ENSG00000284586,1,3
1,155158299,155162706,MUC1,4582,7.0,ENSG00000185499,1,12
1,155146262,155157447,TRIM46,80128,17.0,ENSG00000163462,1,25
1,155141883,155145804,KRTCAP2,200185,11.0,ENSG00000163463,1,15
1,155112366,155112883,DPM3,54344,0.0,ENSG00000179085,1,9
1,155108287,155111334,SLC50A1,55974,2.0,ENSG00000169241,1,14
1,155100348,155107386,EFNA1,1942,13.0,ENSG00000169242,1,16
1,155051347,155060014,EFNA3,1944,17.0,ENSG00000143590,1,22
1,155023747,155035252,ADAM15,8751,21.0,ENSG00000143537,1,25
1,155867598,155880706,RIT1,6016,23.0,ENSG00000143622,1,34
1,155895748,155895877,SCARNA4,677771,0.0,ENSG00000281394,1,7
1,155911479,155912625,RXFP4,339403,0.0,ENSG00000173080,1,6
1,155916629,155948336,ARHGEF2,9181,44.0,ENSG00000116584,1,45
1,156711898,156721543,HDGF,3068,21.0,ENSG00000143321,1,30
1,156707093,156710923,MRPL24,79590,11.0,ENSG00000143314,1,18
1,156698262,156706752,RRNAD1,51093,17.0,ENSG00000143303,1,24
1,156692412,156697705,ISG20L2,81875,11.0,ENSG00000143319,1,19
1,156669399,156675459,CRABP2,1382,7.0,ENSG00000143320,1,14
1,156638555,156647189,NES,10763,16.0,ENSG00000132688,1,23
