chrom,start,end,starthg38,endhg38,ens_g,symbol,entrez_id
1,11873,14409,11868,14409,ENSG00000223972,DDX11L1,100287102
1,158580495,158656506,158610703,158686715,ENSG00000163554,SPTA1,6708
1,158576228,158577170,158605267,158612514,ENSG00000198967,OR10Z1,128368
1,158548708,158549689,158578918,158579899,ENSG00000279111,OR10X1,128367
1,158532440,158533394,158560605,158570580,ENSG00000186440,OR6P1,128366
1,158516917,158517895,158544549,158554405,ENSG00000197532,OR6Y1,391112
1,158449667,158450675,158472219,158480936,ENSG00000198965,OR10R2,343406
1,158435351,158436293,158461573,158468979,ENSG00000173285,OR10K1,391109
1,158389717,158390656,158418209,158426237,ENSG00000180708,OR10K2,391107
1,158368311,158369256,158398521,158399466,ENSG00000186306,OR10T2,128360
1,158323485,158327343,158353893,158357553,ENSG00000158488,CD1E,913
1,158297739,158301321,158327954,158331531,ENSG00000158485,CD1B,910
1,158259562,158264564,158289922,158294774,ENSG00000158481,CD1C,911
1,158223926,158228058,158254423,158258269,ENSG00000158477,CD1A,909
1,158149736,158156216,158178029,158186427,ENSG00000158473,CD1D,912
1,157800703,157811634,157830910,157841808,ENSG00000073754,CD5L,922
1,157764193,157789940,157794402,157820120,ENSG00000163534,FCRL1,115350
1,157715522,157746922,157745732,157777132,ENSG00000132704,FCRL2,79368
1,157647977,157670647,157676480,157700769,ENSG00000160856,FCRL3,115352
1,157543538,157567870,157573746,157598085,ENSG00000163518,FCRL4,83417
1,157483166,157522310,157513376,157552515,ENSG00000143297,FCRL5,83416
1,157098153,157098463,157128361,157128671,ENSG00000235700,CYCSP52,360155
1,157094458,157108383,157121190,157138395,ENSG00000117036,ETV3,2117
1,157061834,157069600,157092042,157112412,ENSG00000253831,ETV3L,440695
1,156905922,156906036,156936130,156936244,ENSG00000211581,MIR765,768220
1,156904631,157015162,156934839,157045742,ENSG00000132694,ARHGEF11,9826
1,156890423,156902880,156920631,156933094,ENSG00000160838,LRRC71,149499
1,156863522,156886226,156893717,156916429,ENSG00000187800,PEAR1,375033
1,158669467,158670442,158699677,158700652,ENSG00000196171,OR6K2,81448
1,158686957,158687905,158716326,158720720,ENSG00000203757,OR6K3,391114
1,158724605,158725637,158754719,158755891,ENSG00000180433,OR6K6,128371
1,158735533,158736472,158764235,158772195,ENSG00000197403,OR6N1,128372
1,160185504,160232350,160215719,160262549,ENSG00000132716,DCAF8,50717
1,160175124,160185162,160205383,160215372,ENSG00000162734,PEA15,8682
1,160160284,160171676,160190574,160201886,ENSG00000143318,CASQ1,844
1,160121351,160156767,160151602,160186980,ENSG00000132681,ATP1A4,480
1,160085519,160113374,160115758,160143591,ENSG00000018625,ATP1A2,477
1,160061128,160068618,160091349,160098828,ENSG00000162729,IGSF8,93185
1,160051359,160059212,160081537,160090563,ENSG00000162728,KCNJ9,3765
1,160007256,160040051,160037466,160070160,ENSG00000177807,KCNJ10,3766
1,159997461,160001783,160024952,160031990,ENSG00000143315,PIGM,93183
1,159921281,159924044,159951491,159954237,ENSG00000162723,SLAMF9,89886
1,159896828,159915386,159927040,159945613,ENSG00000085552,IGSF9,57549
1,159887896,159894341,159918110,159925507,ENSG00000158710,TAGLN2,8407
1,159824105,159832447,159854315,159862657,ENSG00000243284,VSIG8,391123
1,156810664,156828712,156840062,156859117,ENSG00000027644,INSRR,3645
1,159796478,159807282,159826872,159837492,ENSG00000158714,SLAMF8,56833
1,159750758,159752333,159780931,159782543,ENSG00000158716,DUSP23,54935
1,159682078,159684379,159712288,159714589,ENSG00000132693,CRP,1401
1,159557615,159558661,159587825,159588865,ENSG00000132703,APCS,325
1,159504867,159505797,159535077,159536007,ENSG00000184155,OR10J5,127385
1,159409511,159410600,159437844,159443078,ENSG00000196184,OR10J1,26476
1,159283459,159284449,159313719,159314659,ENSG00000196266,OR10J3,441911
1,159259505,159278014,159289713,159308224,ENSG00000179639,FCER1A,2205
1,159141376,159172932,159171608,159202012,ENSG00000162706,CADM3,57863
1,159032274,159046647,159062483,159076766,ENSG00000163568,AIM2,9447
1,158979681,159024945,159009891,159055155,ENSG00000163565,IFI16,3428
1,158901336,158946849,158931551,158977059,ENSG00000163564,PYHIN1,149628
1,158801167,158819270,158831350,158849502,ENSG00000163563,MNDA,4332
1,158746471,158747425,158774221,158781204,ENSG00000188340,OR6N2,81442
1,159772172,159786047,159802359,159816257,ENSG00000181036,FCRL6,343413
1,160258376,160313354,160288593,160343250,ENSG00000122218,COPA,1314
1,156830670,156851642,156860864,156881850,ENSG00000198400,NTRK1,4914
1,156737273,156770609,156767534,156800815,ENSG00000143294,PRCC,5546
1,155829259,155854990,155859566,155885199,ENSG00000132718,SYT11,23208
1,155658881,155708800,155689090,155739010,ENSG00000132676,DAP3,7818
1,155719509,155826972,155749716,155859400,ENSG00000116580,GON4L,54856
1,155579960,155584758,155610217,155614951,ENSG00000125459,MSTO1,55154
1,155531771,155533735,155562025,155563944,ENSG00000235919,ASH1L-AS1,645676
1,155305051,155532324,155335286,155563162,ENSG00000116539,ASH1L,55870
1,155290639,155300909,155324512,155331112,ENSG00000160753,RUSC1,23623
1,155290250,155293938,155317945,155324168,ENSG00000225855,RUSC1-AS1,284618
1,155278538,155290457,155308793,155320609,ENSG00000160752,FDPS,2224
1,155259083,155271225,155289292,155301438,ENSG00000262785,PKLR,5313
1,155247217,155259639,155277462,155289848,ENSG00000143630,HCN3,57657
1,155232658,155243281,155262867,155273287,ENSG00000261893,CLK2,1196
1,155225769,155232176,155255980,155262360,ENSG00000263290,SCAMP3,10067
1,155216995,155225274,155247204,155255483,ENSG00000160767,FAM189B,10712
1,155204238,155214653,155234451,155244670,ENSG00000262446,GBA,2629
1,155183615,155188809,155213820,155227462,ENSG00000160766,GBAP1,2630
1,155178489,155183624,155208694,155213823,ENSG00000173171,MTX1,4580
1,155165378,155177772,155195587,155207897,ENSG00000169231,THBS3,7059
1,155164967,155165063,155195176,155195272,ENSG00000284586,MIR92B,693235
1,155158299,155162706,155186122,155192868,ENSG00000185499,MUC1,4582
1,155146262,155157447,155173848,155184970,ENSG00000163462,TRIM46,80128
1,155141883,155145804,155169407,155173304,ENSG00000163463,KRTCAP2,200185
1,155112366,155112883,155139890,155140595,ENSG00000179085,DPM3,54344
1,155108287,155111334,155135851,155138853,ENSG00000169241,SLC50A1,55974
1,155100348,155107386,155127875,155134899,ENSG00000169242,EFNA1,1942
1,155051347,155060014,155078836,155087538,ENSG00000143590,EFNA3,1944
1,155023747,155035252,155051315,155062775,ENSG00000143537,ADAM15,8751
1,155867598,155880706,155897807,155911349,ENSG00000143622,RIT1,6016
1,155895748,155895877,155925957,155926085,ENSG00000281394,SCARNA4,677771
1,155911479,155912625,155941637,155943087,ENSG00000173080,RXFP4,339403
1,155916629,155948336,155946850,155978160,ENSG00000116584,ARHGEF2,9181
1,156711898,156721543,156742108,156751675,ENSG00000143321,HDGF,3068
